q45_clé,"SH1 Individus, marchés et organisations","SH2 Institutions, gouvernance et systèmes juridiques",SH3 Le monde social et ses interactions,SH5 Textes et concepts,SH6 L'étude du passé humain,"SH7 Mobilité humaine, environnement et espace",SH8 Études des cultures et des arts,PE7 Ingénierie des systèmes et de la communication,PE8 Ingénierie des produits et des procédés,PE9 Sciences de l'Univers,PE10 Sciences du Système Terre,"LS4 Physiologie de la santé, de la maladie et du vieillissement","LS6 Immunité, infection et immunothérapie","LS7 Prévention, diagnostic et traitement des maladies humaines","LS8 Biologie environnementale, écologie et évolution",LS9 Biotechnologie et ingénierie des biosystèmes,SH4 L'esprit humain et sa complexité,LS5 Neurosciences et troubles du système nerveux,PE6 Sciences informatiques et informatique,PE1 Mathématiques,PE5 Chimie de synthèse et matériaux,"Droit, économie et sciences politiques",Sciences sociales,Humanités,Maths info,Ecologie et biosystèmes,"Biologie, maladie","Psychologie, neurosciences",Chimie de synthèse,Sciences sociales et humaines,Sciences physiques et ingénierie,Sciences de la vie,q11_quali_or_quanti,SHS,cluster,lab_cluster,new_clust,semi_cluster,semi_lab_cluster
9X9M-JRJW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Les deux,True,2,Sciences cognitives,2.0,3,Psychologie (sociale)
HE87-K3JL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données quantitatives,True,0,Études des cultures et des arts,0.0,0,Études des cultures et des arts
PQML-4NVQ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Les deux,True,5,Le monde social et ses interactions,5.0,5,Le monde social et ses interactions
H5X6-KL2Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Les deux,False,2,Sciences cognitives,2.0,3,Psychologie (sociale)
4FYP-H9TX,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Les deux,True,4,,-1.0,4,
7L5G-35JG,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Des données qualitatives,True,4,,-1.0,4,
FDGG-VDE6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Les deux,True,4,,-1.0,4,
6454-S2QM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Les deux,True,5,Le monde social et ses interactions,5.0,-1,Le monde social et ses interactions
D4JC-WN3B,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données qualitatives,True,11,Langues et litteratures,-1.0,10,
JF4U-H3UM,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Des données quantitatives,True,6,,6.0,6,L'étude du passé humain
NLVG-2YZ5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données quantitatives,True,2,Sciences cognitives,2.0,3,Psychologie (sociale)
WYVU-F8DF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Les deux,True,1,"Mobilité humaine, environnement et espace",1.0,1,"Mobilité humaine, environnement et espace"
